Date,Topic,Owner,Type,PV,TA,num_follower,num_unfollow,net_follower_change,category,word_count,num_pictures,episode,greater_1k,weekday,num_readers,num_sub_read,num_moment,num_favorites,share_rate,promo_rate,sub_read_rate,moments_read_rate
1/2/18,2018，相约智荟拿好礼！,GE生命科学,N.A.,1257,53,9,5,4,Branding,102,2,0,1,2,420,212,151,3,0.042163882,0.075471698,0.504761905,0.35952381
1/3/18,Ä爱纯派 | 干货集锦~爱我，就请收了我！,Ä爱纯派,Tips,836,25,8,8,0,AKTA,960,13,Ä爱纯派,0,3,447,254,87,19,0.029904306,0,0.568232662,0.194630872
1/4/18,2018，你的年度关键词,Qing tian zhu,Product,1121,52,18,9,9,Branding,270,9,0,1,4,721,302,293,12,0.046387154,0.173076923,0.418862691,0.406380028
1/5/18,生物反应器中UPS的正确使用和维护,GELS客户服务,Tips,1287,55,23,6,17,BP,733,2,0,1,5,928,311,359,21,0.042735043,0.309090909,0.33512931,0.386853448
1/8/18,干货集|细胞成像产品药物开发应用手册-上篇,Hanqing Wang,Tips,728,26,16,5,11,Cell,931,5,0,0,1,411,200,147,11,0.035714286,0.423076923,0.486618005,0.357664234
1/9/18,一次性《指南》研读 |一次性技术的原力- 环境可持续性,Fuxin,Tech,939,42,30,5,25,BP,1584,5,研读,0,2,518,215,189,23,0.044728435,0.595238095,0.415057915,0.364864865
1/10/18,Ä爱纯派|ÄKTA培训课2.0，2018年开启新征途,Ä爱纯派,News,1599,99,12,5,7,AKTA,936,1,Ä爱纯派,1,3,1123,409,564,18,0.061913696,0.070707071,0.364203028,0.50222618
1/13/18,His标签蛋白纯化填料的十八般武艺,Qing tian zhu,Product,1257,53,20,5,15,Consumerable,860,3,0,1,4,936,110,604,62,0.042163882,0.283018868,0.117521368,0.645299145
1/14/18,ÄKTA systems 日常维护,GELS客户服务,Tips,2340,212,56,6,50,AKTA,1488,2,0,1,5,189,58,62,16,0.090598291,0.235849057,0.306878307,0.328042328
1/15/18,药典标准| 基于SPR技术的双特异性抗体检测,Rui Zhang,Tech,1378,129,34,6,28,Biacore,1084,7,0,1,1,987,227,437,51,0.093613933,0.217054264,0.229989868,0.442755826
1/17/18,智荟专线喊你来领奖啦~,Euphie,News,937,32,19,9,10,Branding,868,0,0,0,3,371,170,125,6,0.034151547,0.3125,0.458221024,0.336927224
1/18/18,His 标签蛋白纯化小贴士,Qing tian zhu,Tips,1021,54,28,7,21,AKTA,687,0,0,1,4,607,355,100,31,0.052889324,0.388888889,0.584843493,0.164744646
1/19/18,GE医疗全新一站式解决方案助力西比曼加速细胞治疗药物生产,GE医疗,News,2051,219,79,6,73,Branding,1577,2,0,1,5,1391,280,805,35,0.106777182,0.333333333,0.201294033,0.578720345
1/22/18,精准医疗 | 最好用的超高分辨技术,GE马克亭,Tech,708,45,15,5,10,Branding,1220,4,0,0,1,430,220,131,6,0.063559322,0.222222222,0.511627907,0.304651163
1/23/18,一次性《指南》研读 | 加速生物工艺进程，无问西东,Fuxin,Tech,858,30,19,4,15,BP,1531,1,研读,0,2,497,315,107,12,0.034965035,0.5,0.633802817,0.215291751
1/24/18,中国生物制药的新挑战与新思路,Chen Cheng,Tech,1077,54,15,6,9,Branding,1607,7,0,1,3,634,357,178,12,0.050139276,0.166666667,0.563091483,0.280757098
1/25/18,哥家GST标签蛋白纯化产品全攻略,Qing tian zhu,Product,1142,79,25,6,19,Consumerable,1784,4,0,1,4,796,326,351,28,0.069176883,0.240506329,0.409547739,0.440954774
1/26/18,“智”造医学奇迹：新型的细胞治疗平台如何提高生产力，造福更多患者？,GE医疗,News,839,47,10,8,2,Branding,3469,4,0,0,5,452,204,167,17,0.05601907,0.042553191,0.451327434,0.369469027
1/29/18,干货集|细胞成像产品药物开发应用手册-下篇,Hanqing Wang,Tech,562,25,15,4,11,Cell,1291,4,0,0,1,312,153,71,11,0.044483986,0.44,0.490384615,0.227564103
1/30/18,一次性《指南》研读 | 大咖圆桌讨论都关注了啥（上）,Fuxin,Tech,720,7,33,8,25,BP,1475,0,研读,0,2,357,218,38,10,0.009722222,3.571428571,0.610644258,0.106442577
1/31/18,利器在手 无问西东,Qing tian zhu,Tips,1107,39,21,10,11,AKTA,820,6,0,1,3,661,296,229,11,0.035230352,0.282051282,0.447806354,0.346444781
2/1/18,Ni Sepharose excel 一次性满足你三个愿望,Qing tian zhu,Product,609,24,18,7,11,Consumerable,723,3,0,0,4,707,321,281,12,0.039408867,0.458333333,0.454031117,0.397454031
2/2/18,Amersham Imager 680超灵敏多功能成像仪正式上市,Zhang Yang,Product,1256,108,20,5,15,Branding,553,2,0,1,5,1163,276,711,8,0.085987261,0.138888889,0.237317283,0.611349957
2/5/18,“打造命运共同体”——GE医疗和锐博生物强强联合,Wang Cong,News,1101,98,12,2,10,Cell,997,6,0,1,1,890,234,516,5,0.089009991,0.102040816,0.262921348,0.579775281
2/6/18,一次性《指南》研读 | 大咖圆桌讨论都关注了啥（下）,Fuxin,Tech,227,2,20,7,13,BP,2522,0,研读,0,2,649,230,315,11,0.008810573,6.5,0.354391371,0.485362096
2/7/18,FDA关于GMP生产中微生物负荷的审查case研究,Wendy,Tech,358,18,16,10,6,AKTA,1622,0,0,0,3,422,239,91,14,0.05027933,0.333333333,0.566350711,0.21563981
2/8/18,GST标签蛋白纯化小贴士（一）,Qing tian zhu,Tips,456,23,21,3,18,Consumerable,1132,0,0,0,4,543,278,164,34,0.050438596,0.782608696,0.511970534,0.302025783
2/9/18,备战小长假 | 技术贴集锦,GELS客户服务,Tips,742,39,25,7,18,Branding,253,0,0,0,5,648,219,337,22,0.052560647,0.461538462,0.337962963,0.520061728
2/13/18,小编写了一副对联,GE生命科学,N.A.,374,4,8,5,3,,,1,0,0,2,356,277,44,2,0.010695187,0.75,0.778089888,0.123595506
2/14/18,Ä爱纯派恭祝您和家人新春快乐！,GE生命科学,N.A.,258,6,7,9,-2,,,1,0,0,3,297,191,65,1,0.023255814,-0.333333333,0.643097643,0.218855219
2/26/18,来自GE生命科学的新春祝福：陪伴是最长情的告白,Wang Cong,N.A.,203,4,11,13,-2,Cell,648,4,0,0,1,247,152,39,5,0.019704433,-0.5,0.615384615,0.157894737
2/27/18,小福说：知名美国膜法师来中国只为袋购？,Wu Zhi Jie,N.A.,712,33,21,10,11,BP,628,1,小福说,0,2,642,208,361,4,0.046348315,0.333333333,0.323987539,0.562305296
2/28/18,您的装柱过程有完整的电子数据记录了吗？,Zhao Jianpeng,Tips,1179,57,19,13,6,AKTA,688,4,0,1,3,948,406,437,17,0.048346056,0.105263158,0.428270042,0.460970464
3/1/18,明天要做His纯化，就用PD-10吧，不耽误吃元宵喔,Qing tian zhu,Product,672,21,20,9,11,Consumerable,457,1,0,0,4,899,441,350,16,0.03125,0.523809524,0.49054505,0.389321468
3/5/18,新学期第一课：DV活细胞样品准备,Wang Cong,Tips,423,33,14,7,7,Cell,1212,9,0,0,1,394,137,177,8,0.078014184,0.212121212,0.347715736,0.449238579
3/6/18,“春之约” 生物工艺放大论坛 | 3月28日苏州,GE生命科学,News,684,33,21,8,13,Branding,739,1,0,0,2,576,342,136,4,0.048245614,0.393939394,0.59375,0.236111111
3/7/18,细胞治疗-病毒载体工艺整体解决方案,Deng Jie,Tech,1947,206,27,4,23,Cell,998,10,0,1,3,1116,326,585,69,0.105803801,0.111650485,0.292114695,0.524193548
3/8/18,粉色TALON陪女神过节，蛋白纯化也可以小清新,Qing tian zhu,N.A.,313,10,34,11,23,AKTA,366,2,0,0,4,987,249,583,49,0.031948882,2.3,0.252279635,0.590678825
3/9/18,Biacore在食品安全领域中的应用——三唑磷农药残留检测方法开发,Yali Wang,Tech,922,86,13,7,6,Biacore,2138,5,0,0,5,733,206,422,14,0.093275488,0.069767442,0.281036835,0.575716235
3/12/18,DV小课堂：玻片样品准备,Wang Cong,Tips,450,26,33,5,28,Cell,784,5,0,0,1,459,148,172,15,0.057777778,1.076923077,0.322440087,0.374727669
3/13/18,小福说：爱TA就给TA用好膜,Wu Zhi Jie,Tips,593,17,32,5,27,BP,673,5,小福说,0,2,594,211,286,10,0.028667791,1.588235294,0.355218855,0.481481481
3/14/18,Ä爱纯派 | 过小柱子，选微方案,Feng Feng,Product,1012,35,27,13,14,AKTA,970,2,Ä爱纯派,1,3,765,329,308,9,0.03458498,0.4,0.430065359,0.402614379
3/15/18,Co-IP小妙招,Qing tian zhu,Tips,712,43,31,9,22,Consumerable,313,4,0,0,4,989,368,454,21,0.060393258,0.511627907,0.372093023,0.459049545
